	answer	class
0	"Duševní vlastnictví zahrnuje práva k předmětům nehmotné povahy (nehmotným statkům), které člověk vytvořil svojí tvůrčí duševní činností. V průmyslové oblasti jsou jimi například vynálezy, užitné vzory, průmyslové vzory, ochranné známky, zeměpisná označení, označení původu (práva k průmyslovému vlastnictví). 

Dále sem patří práva vztahující se k autorským dílům, například literárním, grafickým, architektonickým, výtvarným a hudebním. Za dílo se rovněž považuje počítačový program, případně databáze, pokud jsou autorovým vlastním duševním výtvorem. Do této oblasti patří i práva související s právem autorským, jako jsou práva výkonných umělců, nakladatelů, výrobců záznamů a podobně (práva autorská a související).

Více na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"	0
1	"Technické řešení lze chránit formou patentu na vynález, případně zapsaného užitného vzoru, podáním přihlášky vynálezu nebo užitného vzoru, u Úřadu průmyslového vlastnictví, a zaplacení správního poplatku. Princip této ochrany spočívá v tom, že stát prostřednictvím Úřadu průmyslového vlastnictví poskytne přihlašovateli výlučné právo k předmětu ochrany s tím, že chráněné řešení bude zveřejněno.

Pokud vlastník řešení nechce, aby pro něho významné řešení nebo poznatky byly zveřejněny, musí je utajit. K utajení poznatků a znalostí je důležité zvolit vhodná opatření: omezit přístup k řešení jen důvěryhodným osobám, které podepsaly dohodu o utajování. Při této formě ochrany existuje vždy určité riziko vyzrazení. V takovém případě utajené poznatky přestávají být obchodním tajemstvím a stávají se obecně známými a v zásadě tak volnými k využití.

Pokud vlastník řešení nemá zájem na zajištění vlastní průmyslově-právní ochrany a nechce, aby ochrana shodného řešení a výlučné právo k němu nebyly poskytnuty třetí osobě nebo konkurenci, musí řešení kvalifikovaně zveřejnit, například v časopise nebo veřejné přednášce. Vzhledem k tomuto zveřejnění se řešení stane stavem techniky a nebude tedy splňovat podmínky pro poskytnutí průmyslově-právní ochrany.

Pokud si vlastník nezajistí některou z uvedených forem ochrany, musí počítat s tím, že shodné řešení může využívat kdokoliv, aniž je možné mu v tom účinně bránit.

Více na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"	1
2	"Příprava a zpracování přihlášek k předmětům průmyslové ochrany předpokládá specifické znalosti a zkušenosti. Především v případě přihlášek vynálezů se doporučuje, aby byly zpracovány odborníkem, jelikož nesprávně zpracované přihlášky vynálezu a zejména jejich patentové nároky mohou mít pro přihlašovatele negativní následky, zejména pokud jde o získaný rozsah ochrany.

Pomoc, případně odborné zastoupení, mohou nalézt přihlašovatelé u patentových zástupců a u advokátních kanceláří. Více informací o zastupování je možné nalézt na webových stránkách Komory patentových zástupců a České advokátní komory.

Základní informace spojené s problematikou ochrany technických řešení či s řízením o přihláškách vynálezů a užitných vzorů, stejně jako informace spojené se známkoprávní problematikou, s řízením o přihláškách ochranných známek či zatřiďováním výrobků a služeb pro účely známkoprávního řízení Vám mohou poskytnout pracovníci informačního střediska Úřadu průmyslového vlastnictví.

Více na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-. Komora patentových zástupců zde: https://www.patzastupci.cz/. Česká advokátní komora zde: https://www.cak.cz/. Helpdesk ÚPV zde: https://upv.gov.cz/sluzby/informacni-sluzby/informacni-stredisko.  "	2
3	"V případě neoprávněného zásahu do práv z průmyslového vlastnictví - patentu, zapsaného užitného nebo průmyslového vzoru je možné se domáhat u soudu zejména toho, aby rušení práva bylo zakázáno a aby následky porušení byly odstraněny. Pokud byla v důsledku porušování práv způsobena škoda, má poškozený právo na její náhradu.

Vymáhat práva z průmyslového vlastnictví je oprávněn vlastník nebo majitel práva, případně další oprávněná osoba podle Zákona o vymáhání práv z průmyslového vlastnictví.

Více na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"	3
4	"Pokud se jedná o spor nebo nejasnosti o využívání patentu či zapsaného užitného vzoru, opravňují právní předpisy Úřad průmyslového vlastnictví k tomu, aby rozhodl, zda určité technické řešení, například konkurenční výrobek, spadá do rozsahu patentu nebo zapsaného užitného vzoru. Rozhodnutí Úřad vydá na základě žádosti o určení, podané buď majitelem patentu či užitného vzoru, nebo osoby, která osvědčí právní zájem. Rozhodnutí o určení je možné v případě sporu předložit soudu jako důkaz, soud však tímto rozhodnutím není vázán.

Určitou možnost v rámci prosazování práv pro třetí osoby představuje návrh na zrušení patentu v případě, že se dodatečně zjistí, že chráněný vynález nesplňuje podmínky patentovatelnosti. Částečné nebo úplné zrušení patentu lze dosáhnout na základě žádosti, kterou může u Úřadu průmyslového vlastnictví podat kdokoliv. Podobně je takto možné postupovat i u výmazu užitného a průmyslového vzoru.

V případě ochranných známek je možné ve lhůtě tří měsíců od zveřejnění přihlašovaného označení v zákonem uvedených případech podat námitky proti zápisu označení do rejstříku ochranných známek. Po zápisu ochranné známky do rejstříku je možné u Úřadu podat návrh na zrušení ochranné známky či návrh na prohlášení ochranné známky za neplatnou.

K zajištění ochrany Vašich práv z průmyslového vlastnictví se doporučuje sledovat pravidelně Věstník Úřadu, kde jsou pravidelně zveřejňovány informace o přihláškách i poskytnutých právech - tj. o patentech, zapsaných užitných a průmyslových vzorech i ochranných známkách, platných na našem území.

Více na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-. Věstník zde: https://isdv.upv.cz/webapp/resdb.vestnik.seznam"	4
5	"

V případě, že zjistíte porušování práv z duševního vlastnictví, je možné se obrátit na některé veřejnoprávní instituce. Problematikou porušování práv z duševního vlastnictví se zabývá Česká obchodní inspekce, která kontroluje, zda nedochází ke klamání spotřebitele porušováním práv duševního vlastnictví. Kontrolní činnosti v této oblasti provádí také Státní zemědělské a potravinářská inspekce, živnostenské úřady a Státní ústav pro kontrolu léčiv. Celní správa České republiky se zapojuje do boje proti padělání a pirátství. Celní orgány jsou oprávněny zasáhnout vůči zboží, které je podezřelé z porušování práv duševního vlastnictví a umožnit majitelům dotčených práv jejich ochranu. Povinnost plnit úkoly při ochraně práv k duševnímu vlastnictví má také Policie ČR.

Práva z duševního vlastnictví lze vymoci i soukromoprávní cestou prostřednictvím soudů, případně i rozhodců.

Než vlastník práva zvolí soudní cestu, měl by využít všechny možnosti mimosoudní obrany proti porušování práv. Nejprve nejlépe formou doporučeného dopisu oslovit domnělého porušovatele a zahájit s ním jednání. Součástí jednání může být také nabídka licence.

Pokud uvedených možností nevyužijí nebo nedojdou k oboustranné dohodě, nezbývá než využít možností, které poskytují právní předpisy, například Zákon o vymáhání práv z průmyslového vlastnictví. V takovém případě je vhodné využít služeb advokáta či patentového zástupce. V případě vzniklé škody může oprávněná osoba požadovat její náhradu nebo náhradu za bezdůvodné obohacování, případně přiměřené zadostiučinění.

Vymáhat právo z duševního vlastnictví je možné také žalobou proti nekalé soutěži dle občanského zákoníku.

Pokud dojde k úmyslnému porušení práv z průmyslového vlastnictví, může se jednat o trestný čin, za který je možné uložit trest odnětí svobody, peněžitý trest nebo propadnutí věci.

V případě, že protiprávní jednání nemá charakter trestného činu, je možný postih v rámci přestupkového zákona. Za takový přestupek mohou obecní úřady uložit pokutu, trest propadnutí věci, případné trest zákazu činnosti.

Více na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"	5
6	"Lhůta k podání námitek proti zápisu přihlašovaného označení do rejstříku ochranných známek trvá ze Zákona o ochranných známkách tři měsíce od data zveřejnění přihlášky ochranné známky ve Věstníku Úřadu a nelze ji prodloužit a ani její zmeškání prominout.

Více na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"	6
7	"Námitky mohou podat osoby vymezené v ustanovení 7 Zákona o ochranných známkách. Nejčastěji se jedná o vlastníka ochranné známky, uživatele nezapsaného či jiného označení nebo osoby, jejichž zákonem chráněné právo může být přihláškou ochranné známky dotčeno.

Více na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"	7
8	"Námitky je třeba podat, a zaplatit příslušný správní poplatek, ve lhůtě 3 měsíců od data zveřejnění přihlášky ochranné známky, proti jejímuž zápisu směřují. V této lhůtě lze doplňovat důkazy či rozšířit námitkové důvody. K doplnění námitek a k důkazům předloženým na jejich podporu po lhůtě 3 měsíců od zveřejnění přihlášky se nepřihlíží, jestliže se nejedná o takové důkazy, které by měly přímou vazbu na důkazy předložené v zákonem stanovené lhůtě.

https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"	8
9	"V případě obdržení námitky je třeba zhodnotit jejich opodstatněnost, a následně formulovat váš názor v písemném vyjádření a podpořit ho vhodnými doklady. Toto vyjádření je možné samostatně vypracovat nebo tím pověřit svého právního zástupce (nejčastěji advokáta nebo patentového zástupce).

Společně s námitkami je přihlašovateli doručen postupovací dopis Úřadu, v němž je stanovena lhůta k podání vyjádření. Tuto lhůtu je možno na základě zpoplatněné žádosti prodloužit. V případě, že se k námitkám ve stanovené lhůtě přihlašovatel nevyjádří, rozhodne Úřad o námitkách podle obsahu spisu.

V rámci předmětu sporu se lze též pokusit o nalezení smírného řešení formou dohody s namítajícím. K dalším možnostem řešení sporu lze například zařadit omezení přihlašovaného seznamu o námitkami dotčené výrobky nebo služby, čímž odpadne důvod podání námitek. Toto omezení lze provést kdykoliv a nelze ho vzít zpět.

Pokud je přihláška ochranné známky napadána jen v určitém rozsahu výrobků nebo služeb, může přihlašovatel svou přihlášku ochranné známky rozdělit a námitkami dotčené výrobky nebo služby vyčlenit do samostatné přihlášky ochranné známky.

V neposlední řadě může přihlašovatel vzít svou přihlášku ochranné známky kdykoliv zpět. V takovém případě se řízení o přihlášce ochranné známky a následně i řízení o námitkách zastaví (a správní poplatek za podání přihlášky ochranné známky se nevrací).

Více na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"	9
