	question	answer
0	Co je duševní vlastnictví	"Duševní vlastnictví zahrnuje práva k předmětům nehmotné povahy (nehmotným statkům), které člověk vytvořil svojí tvůrčí duševní činností. V průmyslové oblasti jsou jimi například vynálezy, užitné vzory, průmyslové vzory, ochranné známky, zeměpisná označení, označení původu (práva k průmyslovému vlastnictví). 

Dále sem patří práva vztahující se k autorským dílům, například literárním, grafickým, architektonickým, výtvarným a hudebním. Za dílo se rovněž považuje počítačový program, případně databáze, pokud jsou autorovým vlastním duševním výtvorem. Do této oblasti patří i práva související s právem autorským, jako jsou práva výkonných umělců, nakladatelů, výrobců záznamů a podobně (práva autorská a související).

Více na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
1	Co známená duševní vlastnictví	"Duševní vlastnictví zahrnuje práva k předmětům nehmotné povahy (nehmotným statkům), které člověk vytvořil svojí tvůrčí duševní činností. V průmyslové oblasti jsou jimi například vynálezy, užitné vzory, průmyslové vzory, ochranné známky, zeměpisná označení, označení původu (práva k průmyslovému vlastnictví). 

Dále sem patří práva vztahující se k autorským dílům, například literárním, grafickým, architektonickým, výtvarným a hudebním. Za dílo se rovněž považuje počítačový program, případně databáze, pokud jsou autorovým vlastním duševním výtvorem. Do této oblasti patří i práva související s právem autorským, jako jsou práva výkonných umělců, nakladatelů, výrobců záznamů a podobně (práva autorská a související).

Více na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
2	Duševní vlastnictví je	"Duševní vlastnictví zahrnuje práva k předmětům nehmotné povahy (nehmotným statkům), které člověk vytvořil svojí tvůrčí duševní činností. V průmyslové oblasti jsou jimi například vynálezy, užitné vzory, průmyslové vzory, ochranné známky, zeměpisná označení, označení původu (práva k průmyslovému vlastnictví). 

Dále sem patří práva vztahující se k autorským dílům, například literárním, grafickým, architektonickým, výtvarným a hudebním. Za dílo se rovněž považuje počítačový program, případně databáze, pokud jsou autorovým vlastním duševním výtvorem. Do této oblasti patří i práva související s právem autorským, jako jsou práva výkonných umělců, nakladatelů, výrobců záznamů a podobně (práva autorská a související).

Více na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
3	Definice duševního vlastnictví	"Duševní vlastnictví zahrnuje práva k předmětům nehmotné povahy (nehmotným statkům), které člověk vytvořil svojí tvůrčí duševní činností. V průmyslové oblasti jsou jimi například vynálezy, užitné vzory, průmyslové vzory, ochranné známky, zeměpisná označení, označení původu (práva k průmyslovému vlastnictví). 

Dále sem patří práva vztahující se k autorským dílům, například literárním, grafickým, architektonickým, výtvarným a hudebním. Za dílo se rovněž považuje počítačový program, případně databáze, pokud jsou autorovým vlastním duševním výtvorem. Do této oblasti patří i práva související s právem autorským, jako jsou práva výkonných umělců, nakladatelů, výrobců záznamů a podobně (práva autorská a související).

Více na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
4	Jak definovat duševní vlastnictví	"Duševní vlastnictví zahrnuje práva k předmětům nehmotné povahy (nehmotným statkům), které člověk vytvořil svojí tvůrčí duševní činností. V průmyslové oblasti jsou jimi například vynálezy, užitné vzory, průmyslové vzory, ochranné známky, zeměpisná označení, označení původu (práva k průmyslovému vlastnictví). 

Dále sem patří práva vztahující se k autorským dílům, například literárním, grafickým, architektonickým, výtvarným a hudebním. Za dílo se rovněž považuje počítačový program, případně databáze, pokud jsou autorovým vlastním duševním výtvorem. Do této oblasti patří i práva související s právem autorským, jako jsou práva výkonných umělců, nakladatelů, výrobců záznamů a podobně (práva autorská a související).

Více na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
5	Co představuje duševní vlastnictví	"Duševní vlastnictví zahrnuje práva k předmětům nehmotné povahy (nehmotným statkům), které člověk vytvořil svojí tvůrčí duševní činností. V průmyslové oblasti jsou jimi například vynálezy, užitné vzory, průmyslové vzory, ochranné známky, zeměpisná označení, označení původu (práva k průmyslovému vlastnictví). 

Dále sem patří práva vztahující se k autorským dílům, například literárním, grafickým, architektonickým, výtvarným a hudebním. Za dílo se rovněž považuje počítačový program, případně databáze, pokud jsou autorovým vlastním duševním výtvorem. Do této oblasti patří i práva související s právem autorským, jako jsou práva výkonných umělců, nakladatelů, výrobců záznamů a podobně (práva autorská a související).

Více na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
6	Ochrana předmětů technického charakteru	"Technické řešení lze chránit formou patentu na vynález, případně zapsaného užitného vzoru, podáním přihlášky vynálezu nebo užitného vzoru, u Úřadu průmyslového vlastnictví, a zaplacení správního poplatku. Princip této ochrany spočívá v tom, že stát prostřednictvím Úřadu průmyslového vlastnictví poskytne přihlašovateli výlučné právo k předmětu ochrany s tím, že chráněné řešení bude zveřejněno.

Pokud vlastník řešení nechce, aby pro něho významné řešení nebo poznatky byly zveřejněny, musí je utajit. K utajení poznatků a znalostí je důležité zvolit vhodná opatření: omezit přístup k řešení jen důvěryhodným osobám, které podepsaly dohodu o utajování. Při této formě ochrany existuje vždy určité riziko vyzrazení. V takovém případě utajené poznatky přestávají být obchodním tajemstvím a stávají se obecně známými a v zásadě tak volnými k využití.

Pokud vlastník řešení nemá zájem na zajištění vlastní průmyslově-právní ochrany a nechce, aby ochrana shodného řešení a výlučné právo k němu nebyly poskytnuty třetí osobě nebo konkurenci, musí řešení kvalifikovaně zveřejnit, například v časopise nebo veřejné přednášce. Vzhledem k tomuto zveřejnění se řešení stane stavem techniky a nebude tedy splňovat podmínky pro poskytnutí průmyslově-právní ochrany.

Pokud si vlastník nezajistí některou z uvedených forem ochrany, musí počítat s tím, že shodné řešení může využívat kdokoliv, aniž je možné mu v tom účinně bránit.

Více na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
7	Ochrana předmětů technického typu	"Technické řešení lze chránit formou patentu na vynález, případně zapsaného užitného vzoru, podáním přihlášky vynálezu nebo užitného vzoru, u Úřadu průmyslového vlastnictví, a zaplacení správního poplatku. Princip této ochrany spočívá v tom, že stát prostřednictvím Úřadu průmyslového vlastnictví poskytne přihlašovateli výlučné právo k předmětu ochrany s tím, že chráněné řešení bude zveřejněno.

Pokud vlastník řešení nechce, aby pro něho významné řešení nebo poznatky byly zveřejněny, musí je utajit. K utajení poznatků a znalostí je důležité zvolit vhodná opatření: omezit přístup k řešení jen důvěryhodným osobám, které podepsaly dohodu o utajování. Při této formě ochrany existuje vždy určité riziko vyzrazení. V takovém případě utajené poznatky přestávají být obchodním tajemstvím a stávají se obecně známými a v zásadě tak volnými k využití.

Pokud vlastník řešení nemá zájem na zajištění vlastní průmyslově-právní ochrany a nechce, aby ochrana shodného řešení a výlučné právo k němu nebyly poskytnuty třetí osobě nebo konkurenci, musí řešení kvalifikovaně zveřejnit, například v časopise nebo veřejné přednášce. Vzhledem k tomuto zveřejnění se řešení stane stavem techniky a nebude tedy splňovat podmínky pro poskytnutí průmyslově-právní ochrany.

Pokud si vlastník nezajistí některou z uvedených forem ochrany, musí počítat s tím, že shodné řešení může využívat kdokoliv, aniž je možné mu v tom účinně bránit.

Více na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
8	Ochrana technických řešení	"Technické řešení lze chránit formou patentu na vynález, případně zapsaného užitného vzoru, podáním přihlášky vynálezu nebo užitného vzoru, u Úřadu průmyslového vlastnictví, a zaplacení správního poplatku. Princip této ochrany spočívá v tom, že stát prostřednictvím Úřadu průmyslového vlastnictví poskytne přihlašovateli výlučné právo k předmětu ochrany s tím, že chráněné řešení bude zveřejněno.

Pokud vlastník řešení nechce, aby pro něho významné řešení nebo poznatky byly zveřejněny, musí je utajit. K utajení poznatků a znalostí je důležité zvolit vhodná opatření: omezit přístup k řešení jen důvěryhodným osobám, které podepsaly dohodu o utajování. Při této formě ochrany existuje vždy určité riziko vyzrazení. V takovém případě utajené poznatky přestávají být obchodním tajemstvím a stávají se obecně známými a v zásadě tak volnými k využití.

Pokud vlastník řešení nemá zájem na zajištění vlastní průmyslově-právní ochrany a nechce, aby ochrana shodného řešení a výlučné právo k němu nebyly poskytnuty třetí osobě nebo konkurenci, musí řešení kvalifikovaně zveřejnit, například v časopise nebo veřejné přednášce. Vzhledem k tomuto zveřejnění se řešení stane stavem techniky a nebude tedy splňovat podmínky pro poskytnutí průmyslově-právní ochrany.

Pokud si vlastník nezajistí některou z uvedených forem ochrany, musí počítat s tím, že shodné řešení může využívat kdokoliv, aniž je možné mu v tom účinně bránit.

Více na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
9	Jak chránit technické řešení	"Technické řešení lze chránit formou patentu na vynález, případně zapsaného užitného vzoru, podáním přihlášky vynálezu nebo užitného vzoru, u Úřadu průmyslového vlastnictví, a zaplacení správního poplatku. Princip této ochrany spočívá v tom, že stát prostřednictvím Úřadu průmyslového vlastnictví poskytne přihlašovateli výlučné právo k předmětu ochrany s tím, že chráněné řešení bude zveřejněno.

Pokud vlastník řešení nechce, aby pro něho významné řešení nebo poznatky byly zveřejněny, musí je utajit. K utajení poznatků a znalostí je důležité zvolit vhodná opatření: omezit přístup k řešení jen důvěryhodným osobám, které podepsaly dohodu o utajování. Při této formě ochrany existuje vždy určité riziko vyzrazení. V takovém případě utajené poznatky přestávají být obchodním tajemstvím a stávají se obecně známými a v zásadě tak volnými k využití.

Pokud vlastník řešení nemá zájem na zajištění vlastní průmyslově-právní ochrany a nechce, aby ochrana shodného řešení a výlučné právo k němu nebyly poskytnuty třetí osobě nebo konkurenci, musí řešení kvalifikovaně zveřejnit, například v časopise nebo veřejné přednášce. Vzhledem k tomuto zveřejnění se řešení stane stavem techniky a nebude tedy splňovat podmínky pro poskytnutí průmyslově-právní ochrany.

Pokud si vlastník nezajistí některou z uvedených forem ochrany, musí počítat s tím, že shodné řešení může využívat kdokoliv, aniž je možné mu v tom účinně bránit.

Více na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
10	Způsob ochrany předmětů technického charakteru	"Technické řešení lze chránit formou patentu na vynález, případně zapsaného užitného vzoru, podáním přihlášky vynálezu nebo užitného vzoru, u Úřadu průmyslového vlastnictví, a zaplacení správního poplatku. Princip této ochrany spočívá v tom, že stát prostřednictvím Úřadu průmyslového vlastnictví poskytne přihlašovateli výlučné právo k předmětu ochrany s tím, že chráněné řešení bude zveřejněno.

Pokud vlastník řešení nechce, aby pro něho významné řešení nebo poznatky byly zveřejněny, musí je utajit. K utajení poznatků a znalostí je důležité zvolit vhodná opatření: omezit přístup k řešení jen důvěryhodným osobám, které podepsaly dohodu o utajování. Při této formě ochrany existuje vždy určité riziko vyzrazení. V takovém případě utajené poznatky přestávají být obchodním tajemstvím a stávají se obecně známými a v zásadě tak volnými k využití.

Pokud vlastník řešení nemá zájem na zajištění vlastní průmyslově-právní ochrany a nechce, aby ochrana shodného řešení a výlučné právo k němu nebyly poskytnuty třetí osobě nebo konkurenci, musí řešení kvalifikovaně zveřejnit, například v časopise nebo veřejné přednášce. Vzhledem k tomuto zveřejnění se řešení stane stavem techniky a nebude tedy splňovat podmínky pro poskytnutí průmyslově-právní ochrany.

Pokud si vlastník nezajistí některou z uvedených forem ochrany, musí počítat s tím, že shodné řešení může využívat kdokoliv, aniž je možné mu v tom účinně bránit.

Více na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
11	Způsob ochrany předmětů technického typu	"Technické řešení lze chránit formou patentu na vynález, případně zapsaného užitného vzoru, podáním přihlášky vynálezu nebo užitného vzoru, u Úřadu průmyslového vlastnictví, a zaplacení správního poplatku. Princip této ochrany spočívá v tom, že stát prostřednictvím Úřadu průmyslového vlastnictví poskytne přihlašovateli výlučné právo k předmětu ochrany s tím, že chráněné řešení bude zveřejněno.

Pokud vlastník řešení nechce, aby pro něho významné řešení nebo poznatky byly zveřejněny, musí je utajit. K utajení poznatků a znalostí je důležité zvolit vhodná opatření: omezit přístup k řešení jen důvěryhodným osobám, které podepsaly dohodu o utajování. Při této formě ochrany existuje vždy určité riziko vyzrazení. V takovém případě utajené poznatky přestávají být obchodním tajemstvím a stávají se obecně známými a v zásadě tak volnými k využití.

Pokud vlastník řešení nemá zájem na zajištění vlastní průmyslově-právní ochrany a nechce, aby ochrana shodného řešení a výlučné právo k němu nebyly poskytnuty třetí osobě nebo konkurenci, musí řešení kvalifikovaně zveřejnit, například v časopise nebo veřejné přednášce. Vzhledem k tomuto zveřejnění se řešení stane stavem techniky a nebude tedy splňovat podmínky pro poskytnutí průmyslově-právní ochrany.

Pokud si vlastník nezajistí některou z uvedených forem ochrany, musí počítat s tím, že shodné řešení může využívat kdokoliv, aniž je možné mu v tom účinně bránit.

Více na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
