	question	answer
0	Kde najdu informace o přihlašování průmyslových práv do zahraničí?	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
1	Kde najít informace o přihlašování průmyslových práv do zahraničí?	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
2	Kde jsou informace o přihlašování průmyslových práv do zahraničí?	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
3	Jak postupovat při přihlašování do zahraničí?	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
4	Jak podat přihlášku do zahraničí?	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
5	Jak přihlásit do zahraničí?	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
6	Přihlašování do zahraničí	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
7	přihláška do zahraničí	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
8	Formulář žádosti o mezinárodní zápis ochranné známky.	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
9	žádost o mezinárodní zápis ochranné známky.	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
10	Jak zaregistrovat ochrannou známku do zahraničí?	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
11	kde zaregistrovat ochrannou známku do zahraničí?	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
