	question	class
0	kde najdu informace o prihlasovani prumyslovych prav do zahranici?	0
1	kde najit informace o prihlasovani prumyslovych prav do zahranici?	0
2	kde jsou informace o prihlasovani prumyslovych prav do zahranici?	0
3	jak postupovat pri prihlasovani do zahranici?	0
4	jak podat prihlasku do zahranici?	0
5	jak prihlasit do zahranici?	0
6	prihlasovani do zahranici	0
7	prihlaska do zahranici	0
8	formular zadosti o mezinarodni zapis ochranne znamky.	0
9	zadost o mezinarodni zapis ochranne znamky.	0
10	jak zaregistrovat ochrannou znamku do zahranici?	0
11	kde zaregistrovat ochrannou znamku do zahranici?	0
12	chci zaregistrovat ochrannou znamku do zahranici.	0
13	mezinarodni ochranne znamky.	0
14	kde najdu zadost k prihlaseni do zahranici?	0
15	jak najdu zadost k prihlaseni do zahranici?	0
16	formular zadosti o mezinarodni zapis patentu.	0
17	zadost o mezinarodni zapis patentu.	0
18	formular zadosti o mezinarodni prihlasku patentu.	0
19	zadost o mezinarodni prihlasku patentu.	0
20	jak prihlasit patent do zahranici?	0
21	jak zaregistrovat patent do zahranici?	0
22	jak prihlasit vynalez do zahranici?	0
23	jak zaregistrovat vynalez do zahranici?	0
24	chci prihlasit patent do zahranici.	0
25	chci zaregistrovat patent do zahranici.	0
26	chci prihlasit vynalez do zahranici.	0
27	chci zaregistrovat vynalez do zahranici.	0
28	mezinarodni patenty.	0
29	formular zadosti o mezinarodni zapis uzitneho vzoru.	0
30	zadost o mezinarodni zapis uzitneho vzoru.	0
31	formular zadosti o mezinarodni prihlasku uzitneho vzoru.	0
32	zadost o mezinarodni prihlasku uzitneho vzoru.	0
33	jak prihlasit uzitny vzor do zahranici?	0
34	jak zaregistrovat uzitny vzor do zahranici?	0
35	mezinarodni uzitny vzor .	0
36	mezinarodni uzitne vzory.	0
37	formular zadosti o mezinarodni zapis prumysloveho vzoru.	0
38	zadost o mezinarodni zapis prumysloveho vzoru.	0
39	formular zadosti o mezinarodni prihlasku prumysloveho vzoru.	0
40	zadost o mezinarodni prihlasku prumysloveho vzoru.	0
41	jak prihlasit prumyslovy vzor do zahranici?	0
42	jak zaregistrovat prumyslovy vzor do zahranici?	0
43	jak zapsat prumyslovy vzor do zahranici?	0
44	mezinarodni prumyslovy vzor .	0
45	mezinarodni prumyslove vzory.	0
46	co chrani autorske pravo?	1
47	na koho se vztahuji prava souvisejici s autorskym pravem?	1
48	jak dlouho plati autorske pravo?	1
49	je nutne autorske pravo nekde registrovat ?	1
50	je nutne autorske pravo nekde zapsat?	1
51	co je mozne delat s dilem bez autorova souhlasu?	1
52	co je povazovano za legalni uziti autorskeho dila?	1
53	kdo ma na starosti autorske pravo v ceske republice?	1
54	uziti autorskeho dila	1
55	jaka jsou omezeni autorskeho prava?	1
56	co se stane, pokud nekdo porusi autorske pravo?	1
57	co se stane, kdyz nekdo porusi autorske pravo?	1
58	kam se obratit s dotazy k autorskemu pravu ?	1
59	kam se obratit s dotazy k autorskym pravum?	1
60	co je mozne bez souhlasu autora?	1
61	co muzu bez souhlasu autora?	1
62	co lze bez souhlasu autora?	1
63	mam autorske dilo registrovat?	1
64	musim autorske dilo registrovat?	1
65	musi se autorske dilo registrovat?	1
66	kde autorske dilo registrovat?	1
67	kdy vznika autorske pravo?	1
68	co je to stiznost?	2
69	kde mohu najit informace o stiznostech?	2
70	kde muzu najit informace o stiznostech?	2
71	kde lze najit informace o stiznostech?	2
72	kam ma byt stiznost podana?	2
73	kam musi byt stiznost podana?	2
74	co muze byt predmetem stiznosti?	2
75	jaky je ucel podani stiznosti?	2
76	kdo muze podat stiznost?	2
77	kdo je opravnen podat stiznost?	2
78	co se stane po podani stiznosti?	2
79	jak muze byt stiznost vyresena?	2
80	jake jsou mozne reakce uradu na stiznost?	2
81	pravni predpisy tykajici se stiznosti	2
82	kam podat stiznost?	2
83	jak podat stiznost?	2
84	jak muze vypadat rozhodnuti o stiznosti?	2
85	jak vypada rozhodnuti o stiznosti?	2
86	kdo vydava vestnik?	3
87	jak casto je vydavan vestnik?	3
88	jake informace najdu ve vestniku?	3
89	jake informace jsou zverejnovany ve vestniku?	3
90	jsou v vestniku informace o patentech ?	3
91	jsou v vestniku informace o vynalezech?	3
92	zverejnuje vestnik informace o ochrannych znamkach?	3
93	jsou ve vestniku informace o zapsanych prumyslovych vzorech?	3
94	jsou v vestniku udaje o uzitnych vzorech?	3
95	jsou v vestniku informace o uzitnych vzorech?	3
96	kde mohu najit vestnik?	3
97	kde najdu vestnik?	3
98	kde najdu pravni predpisy tykajici se ochrany prumysloveho vlastnictvi?	4
99	kde jsou pravni predpisy tykajici se ochrany prumysloveho vlastnictvi?	4
100	na jake strance jsou uvedeny pravni predpisy o prumyslovem vlastnictvi	4
101	prumyslovych pravech?	4
102	kde jsou pravni predpisy o patentech ?	4
103	kde jsou pravni predpisy o prumyslovych vzorech ?	4
104	kde jsou pravni predpisy o uzitnych vzorech ?	4
105	kde jsou pravni predpisy o ocharnnych znamkach?	4
106	mezinarodni pravni predpisy.	4
107	kde najdu mezinarodni pravni predpisy?	4
108	kde mohu najit mezinarodni pravni predpisy?	4
109	kde muzu najit mezinarodni pravni predpisy?	4
110	pravni predpisy eu .	4
111	pravni predpisy evropske unie.	4
112	kde najdu evropske pravni predpisy?	4
113	jake jsou predpisy eu ?	4
114	jake jsou predpisy evropske unie?	4
115	kde najdu pravni predpisy?	4
116	kde jsou dostupne pravni predpisy?	4
117	pravni predpisy	4
118	prehled pravnich predpisu	4
119	kde mohu najit kontakty na urad?	5
120	kde najdu kontakty?	5
121	zakladni kontakty na urad	5
122	ma urad infocentrum?	5
123	jak kontaktovat urad prumysloveho vlastnictvi	5
124	upv?	5
125	kde najdu informace o provozu podatelny uradu?	5
126	kde jsou informace o provozu podatelny uradu?	5
127	kde najdu podatelnu uradu?	5
128	kde je podatelna uradu?	5
129	kde se mohu obratit s dotazy tykajicimi se prumysloveho prava?	5
130	kam se mohu obratit s dotazy tykajicimi se prumysloveho prava?	5
131	kdo mi muze poskytnout vseobecne informace ?	5
132	kdo mi muze poskytnout obecne informace ?	5
133	kde najdu infocentrum?	5
134	kde je infocentrum?	5
135	kde najdu pomoc s prihlaskou?	6
136	kde mohu najit pomoc s prihlaskou?	6
137	kdo mi poskytne odborne zastoupeni?	6
138	kdo mi muze poskytnout odborne zastoupeni?	6
139	je nejake odborne zastoupeni?	6
140	kde najdu odborne zastoupeni?	6
141	muze mi nekdo pomoci s prihlaskou ?	6
142	muze mi nekdo pomoci s prihlasovanim?	6
143	patentovi zastupci	6
144	kdo mi pomuze s prihlaskou?	6
145	kdo muze pomoci s prihlaskou?	6
146	pomoc s prihlaskou	6
147	pomoc s podanim	6
148	muze urad pomoci s prihlaskou?	6
149	muze urad pomoct s prihlaskou?	6
150	jak postupovat pri prodlouzeni platnosti patentu?	7
151	jak se postupuje pri prodlouzeni platnosti patentu?	7
152	jak udrzet patent v platnosti?	7
153	jak udrzovat patent v platnosti?	7
154	jak prodlouzit patent?	7
155	jak obnovit patent?	7
156	podava se k prodlouzeni patentu zadost?	7
