	answer	class
0	mezinarodni ani svetovy patent ci uzitny vzor neexistuje. ochrana prumysloveho vlastnictvi, tedy i patentu a uzitnych vzoru, ma teritorialni charakter a lze ji ziskat jen v te zemi ci teritoriu, kde je o ni zazadano a kde je prislusnou autoritou (uradem prumysloveho vlastnictvi) udelena ci zapsana. vice informaci o prihlasovani vynalezu ci technickych reseni do zahranici naleznete zde. 	0
1	mezinarodni ani svetovy patent ci uzitny vzor neexistuje. ochrana prumysloveho vlastnictvi, tedy i patentu a uzitnych vzoru, ma teritorialni charakter a lze ji ziskat jen v te zemi ci teritoriu, kde je o ni zazadano a kde je prislusnou autoritou (uradem prumysloveho vlastnictvi) udelena ci zapsana. vice informaci o prihlasovani vynalezu ci technickych reseni do zahranici naleznete zde. 	0
2	mezinarodni ani svetovy patent ci uzitny vzor neexistuje. ochrana prumysloveho vlastnictvi, tedy i patentu a uzitnych vzoru, ma teritorialni charakter a lze ji ziskat jen v te zemi ci teritoriu, kde je o ni zazadano a kde je prislusnou autoritou (uradem prumysloveho vlastnictvi) udelena ci zapsana. vice informaci o prihlasovani vynalezu ci technickych reseni do zahranici naleznete zde. 	0
3	mezinarodni ani svetovy patent ci uzitny vzor neexistuje. ochrana prumysloveho vlastnictvi, tedy i patentu a uzitnych vzoru, ma teritorialni charakter a lze ji ziskat jen v te zemi ci teritoriu, kde je o ni zazadano a kde je prislusnou autoritou (uradem prumysloveho vlastnictvi) udelena ci zapsana. vice informaci o prihlasovani vynalezu ci technickych reseni do zahranici naleznete zde. 	0
4	mezinarodni ani svetovy patent ci uzitny vzor neexistuje. ochrana prumysloveho vlastnictvi, tedy i patentu a uzitnych vzoru, ma teritorialni charakter a lze ji ziskat jen v te zemi ci teritoriu, kde je o ni zazadano a kde je prislusnou autoritou (uradem prumysloveho vlastnictvi) udelena ci zapsana. vice informaci o prihlasovani vynalezu ci technickych reseni do zahranici naleznete zde. 	0
5	mezinarodni ani svetovy patent ci uzitny vzor neexistuje. ochrana prumysloveho vlastnictvi, tedy i patentu a uzitnych vzoru, ma teritorialni charakter a lze ji ziskat jen v te zemi ci teritoriu, kde je o ni zazadano a kde je prislusnou autoritou (uradem prumysloveho vlastnictvi) udelena ci zapsana. vice informaci o prihlasovani vynalezu ci technickych reseni do zahranici naleznete zde. 	0
6	mezinarodni ani svetovy patent ci uzitny vzor neexistuje. ochrana prumysloveho vlastnictvi, tedy i patentu a uzitnych vzoru, ma teritorialni charakter a lze ji ziskat jen v te zemi ci teritoriu, kde je o ni zazadano a kde je prislusnou autoritou (uradem prumysloveho vlastnictvi) udelena ci zapsana. vice informaci o prihlasovani vynalezu ci technickych reseni do zahranici naleznete zde. 	0
7	na webovych strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim.	1
8	na webovych strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim.	1
9	na webovych strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim.	1
10	autorske pravo chrani vysledky lidske tvurci cinnosti v oblasti literarni, vytvarne, hudebni, fotograficke, architektonicke, choreograficke, patri sem i oblast  softveru a pocitacovych her. takzvana prava souvisejici s pravem autorskym se vztahuji take na interprety, prekladatele, nahravaci spolecnosti, rozhlasove stanice, vydavatelstvi a dalsi. autorske pravo je v gesci ministerstva kultury ceske republiky.	2
11	autorske pravo chrani vysledky lidske tvurci cinnosti v oblasti literarni, vytvarne, hudebni, fotograficke, architektonicke, choreograficke, patri sem i oblast  softveru a pocitacovych her. takzvana prava souvisejici s pravem autorskym se vztahuji take na interprety, prekladatele, nahravaci spolecnosti, rozhlasove stanice, vydavatelstvi a dalsi. autorske pravo je v gesci ministerstva kultury ceske republiky.	2
12	autorske pravo chrani vysledky lidske tvurci cinnosti v oblasti literarni, vytvarne, hudebni, fotograficke, architektonicke, choreograficke, patri sem i oblast  softveru a pocitacovych her. takzvana prava souvisejici s pravem autorskym se vztahuji take na interprety, prekladatele, nahravaci spolecnosti, rozhlasove stanice, vydavatelstvi a dalsi. autorske pravo je v gesci ministerstva kultury ceske republiky.	2
13	autorske pravo vznika okamzikem vzniku dila a plati po cely autoruv zivot a jeste 70 let po jeho smrti. 	3
14	autorske pravo neni treba nikde registrovat. bez autorova souhlasu neni mozne dilo kopirovat, sirit, upravovat, vystavovat ci pujcovat. legalni je pouze uzivani dila pro osobni potrebu na nekomercni bazi. 	4
15	bez autorova souhlasu neni mozne dilo kopirovat, sirit, upravovat, vystavovat ci pujcovat. legalni je pouze uzivani dila pro osobni potrebu na nekomercni bazi. 	5
16	bez autorova souhlasu neni mozne dilo kopirovat, sirit, upravovat, vystavovat ci pujcovat. legalni je pouze uzivani dila pro osobni potrebu na nekomercni bazi. 	5
17	bez autorova souhlasu neni mozne dilo kopirovat, sirit, upravovat, vystavovat ci pujcovat. legalni je pouze uzivani dila pro osobni potrebu na nekomercni bazi. 	5
18	autorske pravo je v gesci ministerstva kultury ceske republiky.	6
19	autorske pravo je v gesci ministerstva kultury ceske republiky.	6
20	stiznost je podani nebo sdeleni, ktere nekdo poda verejnopravni nebo soukromopravni osobe nebo organu, pokud predmetem je nejaky nedostatek, nespravne jednani nebo necinnost adresata nebo osoby, vuci niz ma adresat nejakou pravomoc nebo odpovednost, zejmena nema-li takove podani podle zvlastnich pravnich predpisu jiny nazev. stiznosti dorucene uradu, tridene podle let, a reakce uradu na ne, vcetne smernice k vyrizovani stiznosti v uradu prumysloveho vlastnictvi naleznete zde.	7
21	stiznost je podani nebo sdeleni, ktere nekdo poda verejnopravni nebo soukromopravni osobe nebo organu, pokud predmetem je nejaky nedostatek, nespravne jednani nebo necinnost adresata nebo osoby, vuci niz ma adresat nejakou pravomoc nebo odpovednost, zejmena nema-li takove podani podle zvlastnich pravnich predpisu jiny nazev. 	7
22	stiznost je podani nebo sdeleni, ktere nekdo poda verejnopravni nebo soukromopravni osobe nebo organu, pokud predmetem je nejaky nedostatek, nespravne jednani nebo necinnost adresata nebo osoby, vuci niz ma adresat nejakou pravomoc nebo odpovednost, zejmena nema-li takove podani podle zvlastnich pravnich predpisu jiny nazev. 	7
23	stiznost je podani nebo sdeleni, ktere nekdo poda verejnopravni nebo soukromopravni osobe nebo organu, pokud predmetem je nejaky nedostatek, nespravne jednani nebo necinnost adresata nebo osoby, vuci niz ma adresat nejakou pravomoc nebo odpovednost, zejmena nema-li takove podani podle zvlastnich pravnich predpisu jiny nazev. 	7
24	stiznosti dorucene uradu, tridene podle let, a reakce uradu na ne, vcetne smernice k vyrizovani stiznosti v uradu prumysloveho vlastnictvi naleznete zde.	8
25	stiznosti dorucene uradu, tridene podle let, a reakce uradu na ne, vcetne smernice k vyrizovani stiznosti v uradu prumysloveho vlastnictvi naleznete zde.	8
26	stiznosti dorucene uradu, tridene podle let, a reakce uradu na ne, vcetne smernice k vyrizovani stiznosti v uradu prumysloveho vlastnictvi naleznete zde.	8
27	stiznosti dorucene uradu, tridene podle let, a reakce uradu na ne, vcetne smernice k vyrizovani stiznosti v uradu prumysloveho vlastnictvi naleznete zde.	8
28	stiznosti dorucene uradu, tridene podle let, a reakce uradu na ne, vcetne smernice k vyrizovani stiznosti v uradu prumysloveho vlastnictvi naleznete zde.	8
29	stiznosti dorucene uradu, tridene podle let, a reakce uradu na ne, vcetne smernice k vyrizovani stiznosti v uradu prumysloveho vlastnictvi naleznete zde.	8
30	stiznosti dorucene uradu, tridene podle let, a reakce uradu na ne, vcetne smernice k vyrizovani stiznosti v uradu prumysloveho vlastnictvi naleznete zde.	8
31	stiznosti dorucene uradu, tridene podle let, a reakce uradu na ne, vcetne smernice k vyrizovani stiznosti v uradu prumysloveho vlastnictvi naleznete zde.	8
32	urad prumysloveho vlastnictvi v souladu s pravnimi predpisy vydava vestnik. od roku 2007 je vestnik vydavan s tydenni periodicitou pouze v elektronicke podobe. ve vestniku jsou zverejnovany informace o prihlaskach i poskytnutych pravech, to jest o patentech, zapsanych uzitnych a prumyslovych vzorech i ochrannych znamkach, platnych na nasem uzemi.	9
33	od roku 2007 je vestnik vydavan s tydenni periodicitou pouze v elektronicke podobe. 	10
34	ve vestniku jsou zverejnovany informace o prihlaskach i poskytnutych pravech, to jest o patentech, zapsanych uzitnych a prumyslovych vzorech i ochrannych znamkach, platnych na nasem uzemi.	11
35	ve vestniku jsou zverejnovany informace o prihlaskach i poskytnutych pravech, to jest o patentech, zapsanych uzitnych a prumyslovych vzorech i ochrannych znamkach, platnych na nasem uzemi.	11
36	ve vestniku jsou zverejnovany informace o prihlaskach i poskytnutych pravech, to jest o patentech, zapsanych uzitnych a prumyslovych vzorech i ochrannych znamkach, platnych na nasem uzemi.	11
37	ve vestniku jsou zverejnovany informace o prihlaskach i poskytnutych pravech, to jest o patentech, zapsanych uzitnych a prumyslovych vzorech i ochrannych znamkach, platnych na nasem uzemi.	11
38	ve vestniku jsou zverejnovany informace o prihlaskach i poskytnutych pravech, to jest o patentech, zapsanych uzitnych a prumyslovych vzorech i ochrannych znamkach, platnych na nasem uzemi.	11
39	ve vestniku jsou zverejnovany informace o prihlaskach i poskytnutych pravech, to jest o patentech, zapsanych uzitnych a prumyslovych vzorech i ochrannych znamkach, platnych na nasem uzemi.	11
40	vestnik naleznete zde. 	12
41	urad prumysloveho vlastnictvi na svych strankach uvadi zneni a vynatky zneni pravnich predpisu narodnich, mezinarodnich i pravnich predpisu tykajicich se ochrany prumysloveho vlastnictvi v ceske republice na urovni evropske unie. nejdulezitejsi pravni predpisy, ktery se tykaji poplatku pri rizeni pred uradem prumysloveho vlastnictvi naleznete zde.	13
42	urad prumysloveho vlastnictvi na svych strankach uvadi zneni a vynatky zneni pravnich predpisu narodnich, mezinarodnich i pravnich predpisu tykajicich se ochrany prumysloveho vlastnictvi v ceske republice na urovni evropske unie. nejdulezitejsi pravni predpisy, ktery se tykaji poplatku pri rizeni pred uradem prumysloveho vlastnictvi naleznete zde.	14
43	urad prumysloveho vlastnictvi na svych strankach uvadi zneni a vynatky zneni pravnich predpisu narodnich, mezinarodnich i pravnich predpisu tykajicich se ochrany prumysloveho vlastnictvi v ceske republice na urovni evropske unie. nejdulezitejsi pravni predpisy, ktery se tykaji poplatku pri rizeni pred uradem prumysloveho vlastnictvi naleznete zde.	14
44	urad prumysloveho vlastnictvi na svych strankach uvadi zneni a vynatky zneni pravnich predpisu narodnich, mezinarodnich i pravnich predpisu tykajicich se ochrany prumysloveho vlastnictvi v ceske republice na urovni evropske unie. nejdulezitejsi pravni predpisy, ktery se tykaji poplatku pri rizeni pred uradem prumysloveho vlastnictvi naleznete zde.	14
45	urad prumysloveho vlastnictvi na svych strankach uvadi zneni a vynatky zneni pravnich predpisu narodnich, mezinarodnich i pravnich predpisu tykajicich se ochrany prumysloveho vlastnictvi v ceske republice na urovni evropske unie. nejdulezitejsi pravni predpisy, ktery se tykaji poplatku pri rizeni pred uradem prumysloveho vlastnictvi naleznete zde.	14
46	urad prumysloveho vlastnictvi na svych strankach uvadi zneni a vynatky zneni pravnich predpisu narodnich, mezinarodnich i pravnich predpisu tykajicich se ochrany prumysloveho vlastnictvi v ceske republice na urovni evropske unie. nejdulezitejsi pravni predpisy, ktery se tykaji poplatku pri rizeni pred uradem prumysloveho vlastnictvi naleznete zde.	14
47	urad prumysloveho vlastnictvi na svych strankach uvadi zneni a vynatky zneni pravnich predpisu narodnich, mezinarodnich i pravnich predpisu tykajicich se ochrany prumysloveho vlastnictvi v ceske republice na urovni evropske unie. nejdulezitejsi pravni predpisy, ktery se tykaji poplatku pri rizeni pred uradem prumysloveho vlastnictvi naleznete zde.	14
48	urad prumysloveho vlastnictvi na svych strankach uvadi zneni a vynatky zneni pravnich predpisu narodnich, mezinarodnich i pravnich predpisu tykajicich se ochrany prumysloveho vlastnictvi v ceske republice na urovni evropske unie. nejdulezitejsi pravni predpisy, ktery se tykaji poplatku pri rizeni pred uradem prumysloveho vlastnictvi naleznete zde.	14
49	urad prumysloveho vlastnictvi na svych strankach uvadi zneni a vynatky zneni pravnich predpisu narodnich, mezinarodnich i pravnich predpisu tykajicich se ochrany prumysloveho vlastnictvi v ceske republice na urovni evropske unie. nejdulezitejsi pravni predpisy, ktery se tykaji poplatku pri rizeni pred uradem prumysloveho vlastnictvi naleznete zde.	14
50	urad prumysloveho vlastnictvi na svych strankach uvadi zneni a vynatky zneni pravnich predpisu narodnich, mezinarodnich i pravnich predpisu tykajicich se ochrany prumysloveho vlastnictvi v ceske republice na urovni evropske unie. nejdulezitejsi pravni predpisy, ktery se tykaji poplatku pri rizeni pred uradem prumysloveho vlastnictvi naleznete zde.	14
51	urad prumysloveho vlastnictvi na svych strankach uvadi zneni a vynatky zneni pravnich predpisu narodnich, mezinarodnich i pravnich predpisu tykajicich se ochrany prumysloveho vlastnictvi v ceske republice na urovni evropske unie. nejdulezitejsi pravni predpisy, ktery se tykaji poplatku pri rizeni pred uradem prumysloveho vlastnictvi naleznete zde.	14
52	zakladni kontakty naleznete na strankach uradu zde. pokud hledate vseobecne informace o jednotlivych institutech prumysloveho prava, formalnich pozadavcich na prihlasky ci okolnostech rizeni o techto prihlaskach, o spravnich poplatcich a provadeni resersi, muzete kontaktovat informacni stredisko nebo helpdesk. urad na svych strankach uvadi rovnez informace o provozu podatelny a o podminkach prijimani dokumentu.	15
53	zakladni kontakty naleznete na strankach uradu zde. pokud hledate vseobecne informace o jednotlivych institutech prumysloveho prava, formalnich pozadavcich na prihlasky ci okolnostech rizeni o techto prihlaskach, o spravnich poplatcich a provadeni resersi, muzete kontaktovat informacni stredisko nebo helpdesk. urad na svych strankach uvadi rovnez informace o provozu podatelny a o podminkach prijimani dokumentu.	15
