	question	class
0	Kde najdu informace o přihlašování průmyslových práv do zahraničí?	0
1	Kde najít informace o přihlašování průmyslových práv do zahraničí?	0
2	Kde jsou informace o přihlašování průmyslových práv do zahraničí?	0
3	Jak postupovat při přihlašování do zahraničí?	0
4	Jak podat přihlášku do zahraničí?	0
5	Jak přihlásit do zahraničí?	0
6	Přihlašování do zahraničí	0
7	přihláška do zahraničí	0
8	Formulář žádosti o mezinárodní zápis ochranné známky.	0
9	žádost o mezinárodní zápis ochranné známky.	0
10	Jak zaregistrovat ochrannou známku do zahraničí?	0
11	kde zaregistrovat ochrannou známku do zahraničí?	0
12	Chci zaregistrovat ochrannou známku do zahraničí.	0
13	Mezinárodní ochranné známky.	0
14	Kde najdu žádost k přihlášení do zahraničí?	0
15	Jak najdu žádost k přihlášení do zahraničí?	0
16	Formulář žádosti o mezinárodní zápis patentu.	0
17	žádost o mezinárodní zápis patentu.	0
18	Formulář žádosti o mezinárodní přihlášku patentu.	0
19	žádost o mezinárodní přihlášku patentu.	0
20	Jak přihlásit patent do zahraničí?	0
21	Jak zaregistrovat patent do zahraničí?	0
22	Jak přihlásit vynález do zahraničí?	0
23	Jak zaregistrovat vynález do zahraničí?	0
24	Chci přihlásit patent do zahraničí.	0
25	Chci zaregistrovat patent do zahraničí.	0
26	Chci přihlásit vynález do zahraničí.	0
27	Chci zaregistrovat vynález do zahraničí.	0
28	Mezinárodní patenty.	0
29	Formulář žádosti o mezinárodní zápis užitného vzoru.	0
30	žádost o mezinárodní zápis užitného vzoru.	0
31	Formulář žádosti o mezinárodní přihlášku užitného vzoru.	0
32	žádost o mezinárodní přihlášku užitného vzoru.	0
33	Jak přihlásit užitný vzor do zahraničí?	0
34	Jak zaregistrovat užitný vzor do zahraničí?	0
35	Mezinárodní užitný vzor .	0
36	Mezinárodní užitné vzory.	0
37	Formulář žádosti o mezinárodní zápis průmyslového vzoru.	0
38	žádost o mezinárodní zápis průmyslového vzoru.	0
39	Formulář žádosti o mezinárodní přihlášku průmyslového vzoru.	0
40	žádost o mezinárodní přihlášku průmyslového vzoru.	0
41	Jak přihlásit průmyslový vzor do zahraničí?	0
42	Jak zaregistrovat průmyslový vzor do zahraničí?	0
43	Jak zapsat průmyslový vzor do zahraničí?	0
44	Mezinárodní průmyslový vzor .	0
45	Mezinárodní průmyslové vzory.	0
46	Co chrání autorské právo?	1
47	Na koho se vztahují práva související s autorským právem?	1
48	Jak dlouho platí autorské právo?	1
49	Je nutné autorské právo někde registrovat ?	1
50	Je nutné autorské právo někde zapsat?	1
51	Co je možné dělat s dílem bez autorova souhlasu?	1
52	Co je považováno za legální užití autorského díla?	1
53	Kdo má na starosti autorské právo v České republice?	1
54	užití autorského díla	1
55	Jaká jsou omezení autorského práva?	1
56	Co se stane, pokud někdo poruší autorské právo?	1
57	Co se stane, když někdo poruší autorské právo?	1
58	Kam se obrátit s dotazy k autorskému právu ?	1
59	Kam se obrátit s dotazy k autorským právům?	1
60	Co je možné bez souhlasu autora?	1
61	Co můžu bez souhlasu autora?	1
62	Co lze bez souhlasu autora?	1
63	Mám autorské dílo registrovat?	1
64	musím autorské dílo registrovat?	1
65	musí se autorské dílo registrovat?	1
66	kde autorské dílo registrovat?	1
67	Kdy vzniká autorské právo?	1
68	Co je to stížnost?	2
69	Kde mohu najít informace o stížnostech?	2
70	Kde můžu najít informace o stížnostech?	2
71	Kde lze najít informace o stížnostech?	2
72	Kam má být stížnost podána?	2
73	Kam musí být stížnost podána?	2
74	Co může být předmětem stížnosti?	2
75	Jaký je účel podání stížnosti?	2
76	Kdo může podat stížnost?	2
77	Kdo je oprávněn podat stížnost?	2
78	Co se stane po podání stížnosti?	2
79	Jak může být stížnost vyřešena?	2
80	Jaké jsou možné reakce Úřadu na stížnost?	2
81	právní předpisy týkající se stížností	2
82	Kam podat stížnost?	2
83	Jak podat stížnost?	2
84	Jak může vypadat rozhodnutí o stížnosti?	2
85	Jak vypadá rozhodnutí o stížnosti?	2
86	Kdo vydává Věstník?	3
87	Jak často je vydáván Věstník?	3
88	Jaké informace najdu ve Věstníku?	3
89	Jaké informace jsou zveřejňovány ve Věstníku?	3
90	Jsou v Věstníku informace o patentech ?	3
91	Jsou v Věstníku informace o vynálezech?	3
92	Zveřejňuje Věstník informace o ochranných známkách?	3
93	Jsou ve Věstníku informace o zapsaných průmyslových vzorech?	3
94	Jsou v Věstníku údaje o užitných vzorech?	3
95	Jsou v Věstníku informace o užitných vzorech?	3
96	Kde mohu najít Věstník?	3
97	Kde najdu Věstník?	3
98	Kde najdu právní předpisy týkající se ochrany průmyslového vlastnictví?	4
99	Kde jsou právní předpisy týkající se ochrany průmyslového vlastnictví?	4
100	Na jaké stránce jsou uvedeny právní předpisy o průmyslovém vlastnictví	4
101	průmyslových právech?	4
102	Kde jsou právní předpisy o patentech ?	4
103	Kde jsou právní předpisy o průmyslových vzorech ?	4
104	Kde jsou právní předpisy o užitných vzorech ?	4
105	Kde jsou právní předpisy o ocharnných známkách?	4
106	Mezinárodní právní předpisy.	4
107	Kde najdu mezinárodní právní předpisy?	4
108	Kde mohu najít mezinárodní právní předpisy?	4
109	Kde můžu najít mezinárodní právní předpisy?	4
110	Právní předpisy EU .	4
111	Právní předpisy Evropské unie.	4
112	Kde najdu evropské právní předpisy?	4
113	Jaké jsou předpisy EU ?	4
114	Jaké jsou předpisy Evropské unie?	4
115	Kde najdu právní předpisy?	4
116	Kde jsou dostupné právní předpisy?	4
117	právní předpisy	4
118	přehled právních předpisů	4
119	Kde mohu najít kontakty na Úřad?	5
120	Kde najdu kontakty?	5
121	základní kontakty na úřad	5
122	Má úřad infocentrum?	5
123	jak kontaktovat Úřad průmyslového vlastnictví	5
124	UPV?	5
125	Kde najdu informace o provozu podatelny Úřadu?	5
126	Kde jsou informace o provozu podatelny Úřadu?	5
127	Kde najdu podatelnu úřadu?	5
128	Kde je podatelna úřadu?	5
129	Kde se mohu obrátit s dotazy týkajícími se průmyslového práva?	5
130	kam se mohu obrátit s dotazy týkajícími se průmyslového práva?	5
131	Kdo mi může poskytnout všeobecné informace ?	5
132	Kdo mi může poskytnout obecné informace ?	5
133	Kde najdu infocentrum?	5
134	Kde je infocentrum?	5
135	Kde najdu pomoc s přihláškou?	6
136	Kde mohu najít pomoc s přihláškou?	6
137	Kdo mi poskytne odborné zastoupení?	6
138	Kdo mi může poskytnout odborné zastoupení?	6
139	Je nějaké odborné zastoupení?	6
140	kde najdu odborné zastoupení?	6
