	answer	class
0	Mezinárodní ani světový patent či užitný vzor neexistuje. Ochrana průmyslového vlastnictví, tedy i patentů a užitných vzorů, má teritoriální charakter a lze ji získat jen v té zemi či teritoriu, kde je o ni zažádáno a kde je příslušnou autoritou (úřadem průmyslového vlastnictví) udělena či zapsána. Více informací o přihlašování vynálezů či technických řešení do zahraničí naleznete zde. 	0
1	Mezinárodní ani světový patent či užitný vzor neexistuje. Ochrana průmyslového vlastnictví, tedy i patentů a užitných vzorů, má teritoriální charakter a lze ji získat jen v té zemi či teritoriu, kde je o ni zažádáno a kde je příslušnou autoritou (úřadem průmyslového vlastnictví) udělena či zapsána. Více informací o přihlašování vynálezů či technických řešení do zahraničí naleznete zde. 	0
2	Mezinárodní ani světový patent či užitný vzor neexistuje. Ochrana průmyslového vlastnictví, tedy i patentů a užitných vzorů, má teritoriální charakter a lze ji získat jen v té zemi či teritoriu, kde je o ni zažádáno a kde je příslušnou autoritou (úřadem průmyslového vlastnictví) udělena či zapsána. Více informací o přihlašování vynálezů či technických řešení do zahraničí naleznete zde. 	0
3	Mezinárodní ani světový patent či užitný vzor neexistuje. Ochrana průmyslového vlastnictví, tedy i patentů a užitných vzorů, má teritoriální charakter a lze ji získat jen v té zemi či teritoriu, kde je o ni zažádáno a kde je příslušnou autoritou (úřadem průmyslového vlastnictví) udělena či zapsána. Více informací o přihlašování vynálezů či technických řešení do zahraničí naleznete zde. 	0
4	Mezinárodní ani světový patent či užitný vzor neexistuje. Ochrana průmyslového vlastnictví, tedy i patentů a užitných vzorů, má teritoriální charakter a lze ji získat jen v té zemi či teritoriu, kde je o ni zažádáno a kde je příslušnou autoritou (úřadem průmyslového vlastnictví) udělena či zapsána. Více informací o přihlašování vynálezů či technických řešení do zahraničí naleznete zde. 	0
5	Mezinárodní ani světový patent či užitný vzor neexistuje. Ochrana průmyslového vlastnictví, tedy i patentů a užitných vzorů, má teritoriální charakter a lze ji získat jen v té zemi či teritoriu, kde je o ni zažádáno a kde je příslušnou autoritou (úřadem průmyslového vlastnictví) udělena či zapsána. Více informací o přihlašování vynálezů či technických řešení do zahraničí naleznete zde. 	0
6	Mezinárodní ani světový patent či užitný vzor neexistuje. Ochrana průmyslového vlastnictví, tedy i patentů a užitných vzorů, má teritoriální charakter a lze ji získat jen v té zemi či teritoriu, kde je o ni zažádáno a kde je příslušnou autoritou (úřadem průmyslového vlastnictví) udělena či zapsána. Více informací o přihlašování vynálezů či technických řešení do zahraničí naleznete zde. 	0
7	Na webových stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.	1
8	Na webových stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.	1
9	Na webových stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.	1
10	Autorské právo chrání výsledky lidské tvůrčí činnosti v oblasti literární, výtvarné, hudební, fotografické, architektonické, choreografické, patří sem i oblast  softvéru a počítačových her. Takzvaná práva související s právem autorským se vztahují také na interprety, překladatele, nahrávací společnosti, rozhlasové stanice, vydavatelství a další. Autorské právo je v gesci ministerstva kultury české republiky.	2
11	Autorské právo chrání výsledky lidské tvůrčí činnosti v oblasti literární, výtvarné, hudební, fotografické, architektonické, choreografické, patří sem i oblast  softvéru a počítačových her. Takzvaná práva související s právem autorským se vztahují také na interprety, překladatele, nahrávací společnosti, rozhlasové stanice, vydavatelství a další. Autorské právo je v gesci ministerstva kultury české republiky.	2
12	Autorské právo chrání výsledky lidské tvůrčí činnosti v oblasti literární, výtvarné, hudební, fotografické, architektonické, choreografické, patří sem i oblast  softvéru a počítačových her. Takzvaná práva související s právem autorským se vztahují také na interprety, překladatele, nahrávací společnosti, rozhlasové stanice, vydavatelství a další. Autorské právo je v gesci ministerstva kultury české republiky.	2
13	Autorské právo vzniká okamžikem vzniku díla a platí po celý autorův život a ještě 70 let po jeho smrti. 	3
14	Autorské právo není třeba nikde registrovat. Bez autorova souhlasu není možné dílo kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. 	4
15	Bez autorova souhlasu není možné dílo kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. 	5
16	Bez autorova souhlasu není možné dílo kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. 	5
17	Bez autorova souhlasu není možné dílo kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. 	5
18	Autorské právo je v gesci ministerstva kultury české republiky.	6
19	Autorské právo je v gesci ministerstva kultury české republiky.	6
