	question	class
0	Světový patent	0
1	mezinárodní patent	0
2	Světový  patenty	0
3	mezinárodní patenty	0
4	Chci si zaregistrovat mezinárodní patent	0
5	Jak zaregistrovat mezinárodní patent	0
6	Chci si zaregistrovat mezinárodní vynález	0
7	Jak zaregistrovat mezinárodní vynález	0
8	Světový užitný vzor	0
9	mezinárodní užitný vzor	0
10	Chci si zaregistrovat mezinárodní užitný vzor	0
11	Jak zaregistrovat mezinárodní užitný vzor	0
12	Formulář žádosti o mezinárodní zápis patentu .	0
13	žádost o mezinárodní zápis patentu .	0
14	Formulář žádosti o mezinárodní přihlášku patentu .	0
15	žádost o mezinárodní přihlášku patentu .	0
16	Formulář žádosti o mezinárodní zápis  vynálezu.	0
17	žádost o mezinárodní zápis  vynálezu.	0
18	Formulář žádosti o mezinárodní přihlášku vynálezu.	0
19	žádost o mezinárodní přihlášku vynálezu.	0
20	Formulář žádosti o mezinárodní zápis užitného vzoru	0
21	žádost o mezinárodní zápis užitného vzoru	0
22	Formulář žádosti o mezinárodní přihlášku užitného vzoru	0
23	žádost o mezinárodní přihlášku užitného vzoru	0
24	Mezinárodní registrace užitného vzoru	0
25	Formulář žádosti o mezinárodní zápis průmyslového vzoru.	1
26	žádost o mezinárodní zápis průmyslového vzoru.	1
27	Formulář žádosti o mezinárodní přihlášku průmyslového vzoru.	1
28	žádost o mezinárodní přihlášku průmyslového vzoru.	1
29	Jak přihlásit průmyslový vzor do zahraničí?	1
30	Jak zaregistrovat průmyslový vzor do zahraničí?	1
31	Jak zapsat průmyslový vzor do zahraničí?	1
32	Mezinárodní průmyslový vzor .	1
33	Mezinárodní průmyslové vzory.	1
34	Co chrání autorské právo?	2
35	Co je autorské právo	2
36	Na koho se vztahují práva související s autorským právem?	2
37	Jak dlouho platí autorské právo?	3
38	Je nutné autorské právo někde registrovat ?	4
39	Je nutné autorské právo někde zapsat?	4
40	Co je možné bez souhlasu autora?	5
41	Co můžu bez souhlasu autora?	5
42	Co lze bez souhlasu autora?	5
43	Co je považováno za legální užití autorského díla?	5
44	užití autorského díla	5
45	Kdo má na starosti autorské právo v České republice?	6
